source,target,weight,color
0,1,0.64,0
0,2,0.68,0
0,3,0.62,0
0,4,0.6,0
0,5,0.3,0
0,6,0.83,0
0,7,0.459,0
0,8,0.776,0
1,0,0.64,1
1,2,0.617,1
1,3,0.527,1
1,4,0.649,1
1,5,0.34,1
1,6,0.523,1
1,7,0.552,1
1,8,0.543,1
2,0,0.679,2
2,1,0.617,2
2,3,0.494,2
2,4,0.617,2
2,5,0.432,2
2,6,0.532,2
2,7,0.564,2
2,8,0.518,2
3,0,0.62,3
3,1,0.527,3
3,2,0.494,3
3,4,0.594,3
3,5,0.524,3
3,6,0.799,3
3,7,0.477,3
3,8,0.556,3
4,0,0.598,4
4,1,0.649,4
4,2,0.617,4
4,3,0.594,4
4,5,0.392,4
4,6,0.505,4
4,7,0.576,4
4,8,0.571,4
5,0,0.297,5
5,1,0.341,5
5,2,0.432,5
5,3,0.524,5
5,4,0.392,5
5,6,0.294,5
5,7,0.55,5
5,8,0.392,5
6,0,0.83,6
6,1,0.523,6
6,2,0.532,6
6,3,0.8,6
6,4,0.505,6
6,5,0.294,6
6,7,0.346,6
6,8,0.633,6
7,0,0.459,7
7,1,0.552,7
7,2,0.564,7
7,3,0.477,7
7,4,0.576,7
7,5,0.55,7
7,6,0.346,7
7,8,0.418,7
8,0,0.776,8
8,1,0.543,8
8,2,0.518,8
8,3,0.556,8
8,4,0.571,8
8,5,0.392,8
8,6,0.633,8
8,7,0.418,8